sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
852,40,6,0.15,1.706511113903325,6;9;14;16;19;25,3.8,0.20833333333333334,0.25597666708549877,0.1538222194982839,4.806002742981005,0.12669541924716024,0.3282598237497406,0.7832721766869646
853,40,3,0.075,3.253148111973858,9;32;36,13.5,0.06896551724137931,0.2439861083980394,0.14659803929794712,5.818373909488262,0.11106198788119485,0.7350518883246744,0.8431262532799152
854,40,5,0.125,2.6030715742989616,0;9;17;36;38,9.5,0.09523809523809523,0.32538394678737026,0.0800156539204847,5.454522662703559,0.12957191108746707,0.7428000911385872,0.7970846399176884
855,40,7,0.175,3.1906208360505794,7;12;13;19;25;26;27,3.3333333333333335,0.23076923076923073,0.5583586463088515,0.2847285574568719,6.66440161836744,0.1802208163141299,0.5606597919860897,0.7378871309841271
856,40,6,0.15,3.2911906961500716,4;9;13;17;27;35,6.2,0.1388888888888889,0.49367860442251066,0.10906878671064596,5.788502832112033,0.1501818971173233,0.3704001111071142,0.7691231528581759
857,40,8,0.2,2.676569378956814,0;3;6;11;23;25;26;38,5.428571428571429,0.15555555555555556,0.5353138757913627,0.015157163478273838,5.917038096773272,0.19008827787781393,0.6882134409915869,0.7193787732147887
858,40,7,0.175,3.1733717314234093,11;18;19;20;22;24;33,3.6666666666666665,0.2142857142857143,0.5553400529990966,0.1338973004031498,6.647251840545389,0.18685696379356043,0.7103939333013045,0.7342915053387257
859,40,4,0.1,3.413382502160777,12;15;28;37,8.333333333333334,0.10714285714285714,0.3413382502160775,0.052562994109095595,5.959037570915557,0.1452611303151857,0.7542426179689715,0.8030444182794751
860,40,12,0.3,1.7991896507867045,0;2;7;16;21;22;25;26;32;33;36;38,3.4545454545454546,0.22448979591836732,0.5397568952360114,0.05835770475289942,5.1070177774576155,0.17280538903331671,0.4606088205227655,0.6789763314597559
861,40,12,0.3,1.9544045173998963,1;3;5;15;18;19;23;25;32;33;38;39,3.4545454545454546,0.22448979591836732,0.5863213552199689,0.25422515973778564,5.215886527537966,0.17747553757345827,0.5112112209395634,0.6768301569597265
862,40,8,0.2,2.914979991092318,2;6;14;26;31;33;37;39,5.285714285714286,0.1590909090909091,0.5829959982184635,0.13716364572092693,5.680073084000171,0.21494103731023934,0.6896848195852191,0.7067432307292254
863,40,7,0.175,0.7505091339128294,8;11;18;23;32;38;39,5.166666666666667,0.16216216216216214,0.1313390984347452,0.11842098461245729,4.141073311615567,0.06352279903263118,0.1361001141907863,0.8074134773950601
864,40,6,0.15,2.5583002096066605,6;16;18;21;22;39,6.6,0.13157894736842105,0.38374503144099914,0.1054348829752984,5.810481271828607,0.15928818844223086,0.7349202759004645,0.7637737885574171
865,40,1,0.025,3.3727664147722765,25,0.0,,0.08431916036930678,0.1842677543095243,5.906913337216427,0.07771375293550661,0.7482589003444484,0.906853657477224
866,40,8,0.2,1.7534376469123514,13;17;18;23;24;29;33;37,3.4285714285714284,0.22580645161290322,0.35068752938247033,0.10800789972886121,5.076932531496478,0.12696108967880163,0.47449555565849505,0.7536015997590824
867,40,1,0.025,0.23482948694110273,15,0.0,,0.005870737173527529,0.15302875330548407,4.001410920297086,0.03888512249675916,0.06575424424502133,0.9399511083049723
868,40,4,0.1,2.216483373084983,2;5;10;29,9.0,0.1,0.22164833730849814,0.05032178182352645,5.043769796281376,0.11794366443854432,0.5758339270368585,0.8210560383028771
869,40,10,0.25,0.3363984025292574,0;3;5;6;15;22;26;32;36;39,4.333333333333333,0.1875,0.0840996006323143,0.14817057896105473,4.064445325585971,0.04616970686043164,0.1434040499481248,0.7715039124176025
870,40,10,0.25,3.648910715416762,0;3;12;13;20;22;30;34;37;39,4.333333333333333,0.1875,0.9122276788541905,0.02112528423443627,6.755210037578429,0.27727702723179537,0.7913390737304493,0.6547600613180897
871,40,6,0.15,0.27148950606948663,3;11;13;15;30;31,5.6,0.15151515151515152,0.04072342591042298,0.15563372350626753,4.0468672368301934,0.046783937072878104,0.12276485629443976,0.8355727120183641
872,40,4,0.1,2.607264464730871,21;22;35;38,5.666666666666667,0.15,0.26072644647308707,0.13310514488867037,5.864669583453198,0.10415449849381883,0.4286344184766673,0.8304582188172868
873,40,1,0.025,1.9557372314628856,33,0.0,,0.048893430786572024,0.1746916029527202,4.789000407829557,0.05969019580563621,0.5204975922400058,0.9219222261498051
874,40,6,0.15,2.1139187517598814,1;3;9;13;14;28,5.4,0.15625,0.31708781276398224,0.3229115227120881,5.391208252829557,0.1440632882605679,0.555098907914162,0.7727597321334748
875,40,7,0.175,2.5061956725695382,2;7;13;14;20;29;39,6.166666666666667,0.13953488372093023,0.4385842426996692,0.17661725411181606,5.707599487193686,0.16144846148164563,0.725313941494068,0.7482518247590004
876,40,4,0.1,2.90508666376101,2;3;21;25,7.666666666666667,0.11538461538461536,0.29050866637610095,0.09961153267177492,6.132203461863061,0.12190503339860488,0.43899174763174426,0.8183942063145458
877,40,9,0.225,0.8411594651193973,2;7;12;13;24;28;29;37;39,4.625,0.17777777777777778,0.1892608796518644,0.09896348129076848,4.330450040395628,0.09153472110960047,0.262635219054375,0.7595697887536008
878,40,2,0.05,1.6882825632348684,21;38,17.0,0.05555555555555555,0.08441412816174329,0.15837522398328943,4.598099142112899,0.07853721843928084,0.5110422962950881,0.8861028096024672
879,40,4,0.1,3.114020286540166,11;19;24;33,7.333333333333333,0.12000000000000002,0.31140202865401667,0.19104468693661464,5.642083840141904,0.14799290611514418,0.363479761750366,0.8012866059574673
880,40,10,0.25,2.5733249688536683,2;6;14;16;23;25;28;29;30;31,3.2222222222222223,0.23684210526315788,0.643331242213417,0.09439894930556947,6.1532226767595954,0.19316735353658634,0.38011308548121586,0.692920330791455
881,40,8,0.2,2.277482658659263,0;4;6;13;25;34;35;39,5.571428571428571,0.15217391304347827,0.4554965317318526,0.18298197996596777,5.523948369887911,0.16666494669670254,0.6789968467909135,0.7317082379386769
